Page Number,Page Title,Scene Description,Main Objects,Difficulty Level,Composition Type,Visual Focus,Unique Feature
40,The Witch's Desk,"A detailed study desk with an open grimoire, candles, ink, crystals, and a perched owl",Grimoire; candles; ink; crystals; owl; quill,Detailed,Vignette,The magical workspace,Closes Chapter 3; transitions into the finale
41,The Grand Library at Night,"A towering two-story cottage library by moonlight with ladders, lamps, and shelves of books",Bookshelves; ladders; lamps; moon; cat,Masterpiece,Establishing Scene,The soaring wall of books,Showpiece depth; the most intricate library scene
42,The Enchanted Greenhouse in Bloom,"The greenhouse at peak bloom, bursting with exotic plants, hanging vines, and butterflies",Exotic plants; vines; flowers; butterflies; glass,Masterpiece,Establishing Scene,The explosion of botanical detail,Layered foliage finale with butterflies throughout
43,The Cottage Cross-Section,"A cutaway view of the whole cottage revealing every room stacked together",Library; kitchen; apothecary; bedroom; garden,Masterpiece,Cross-Section / Cutaway,The whole world revealed at once,The signature showpiece tying all rooms together
44,The Midnight Garden,"The full garden under a large moon with glowing flowers, fireflies, the well, and familiars",Moon; glowing flowers; fireflies; well; familiars,Masterpiece,Establishing Scene,The luminous night garden,Fireflies and glow as delicate radiating detail
45,The Apothecary in Full,"The complete apothecary room: floor-to-ceiling bottles, ladders, a cauldron, and worktables",Bottle walls; ladders; cauldron; tables; jars,Masterpiece,Establishing Scene,The overwhelming wall of curiosities,Maximum object density with deliberate open zones
46,The Tower Study,"The witch's tower study at the top of the spiral stairs, packed with magical artifacts",Telescope; maps; books; crystals; window; owl,Masterpiece,Establishing Scene,The artifact-filled tower,A telescope aimed at a star-filled (outlined) sky
47,The Feast Table,"A grand harvest table laden with pumpkins, breads, teapots, candles, and gathered familiars",Table; pumpkins; bread; teapots; candles; familiars,Masterpiece,Establishing Scene,The abundant feast,The richest still-life scene; all familiars present
48,The Cottage in the Woods,"The full exterior of the cottage nestled in an enchanted forest under a crescent moon",Cottage; trees; moon; path; garden; chimney smoke,Masterpiece,Establishing Scene,The complete cottage in its world,The definitive cover-worthy establishing scene
49,The Spellbook Spread,"A massive ornate open grimoire filling the page with intricate borders, symbols, and vines",Open grimoire; ornate border; symbols; vines; moths,Masterpiece,Pattern/Border Scene,The lavish double-page-style spread,Decorative border masterpiece; symbols as fine detail
50,The Heart of the Cottage,"The ultimate scene: the witch's cozy living room at night with every recurring motif gathered",Hearth; cats; owl; raven; books; teacups; moon; vines,Masterpiece,Establishing Scene,Everything the journey has built,The grand finale uniting every recurring motif
