Page Number,Page Title,Positive Prompt,Negative Prompt,Composition Notes,Complexity Level,Consistency Notes
11,A Pot of Herbs,"black and white line art coloring page for adults, a clay pot of fresh leafy kitchen herbs on a windowsill with a small handwritten-style tag tied with twine, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Single pot centered, leaves filling upper area",Light,"Tag left blank (no readable text); leaf variety begins"
12,The Reading Nook,"black and white line art coloring page for adults, a cushioned window seat with a stack of books, a teacup, and a cat tail peeking in from the edge, soft cushions, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Cozy corner composition, window light area open",Light,"Recurring teacup and cat; closes Chapter 1 with a richer vignette"
13,Shelf of Little Potions,"black and white line art coloring page for adults, a wooden shelf lined with assorted small potion bottles of many shapes with corks and blank labels, a dripping candle, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Horizontal shelf, bottles in a varied row",Light,"Potion-bottle motif begins; each bottle a distinct shape"
14,The Hearth Aglow,"black and white line art coloring page for adults, a cottage fireplace with a small cauldron hanging over decorative flame swirls, stacked logs, the cat warming nearby, a hanging spoon, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Fireplace centered, cat lower foreground",Light,"Flames as decorative line swirls, never black; recurring cat & hearth"
15,Windowsill Garden,"black and white line art coloring page for adults, a sunny windowsill crowded with small pots and seedlings, a watering can, and a curious toad, window panes behind, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, deformed toad, blurry, photorealistic","Horizontal sill, cluster of small plants",Light,"Toad familiar introduced; seedling variety"
16,Hanging Dried Herbs,"black and white line art coloring page for adults, bundles of dried herbs and flowers hanging from a wooden beam to dry, twine ties, a hanging lantern, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Top-anchored hanging bundles, rhythmic spacing, open lower area",Light,"Gentle repeating pattern with varied bundles; lantern motif"
17,The Spell Journal,"black and white line art coloring page for adults, an open spellbook on a desk with blank pages, a quill, an inkpot, a candle, and a few loose pages, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, written words, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Open book centered, pages left blank for colorist",Light,"Book pages intentionally empty (no text); candle motif"
18,Raven on the Banister,"black and white line art coloring page for adults, a sleek raven perched on a carved wooden stair banister beside a candle with a trailing vine, clean outlines, no black feathers fill, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, deformed bird, blurry, photorealistic","Raven as hero on diagonal banister",Light,"Raven familiar introduced; feathers outlined only, no black"
19,Basket of Apples,"black and white line art coloring page for adults, a woven basket brimming with apples beside a folded cloth on a wooden floor, a stray leaf, clean outlines, woven texture, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Basket centered low, apples mounded above",Light,"Weave adds fine detail; apples kept open and round"
20,The Cottage Kitchen Corner,"black and white line art coloring page for adults, a cozy kitchen corner with hanging copper pots, a kettle, ladles, a small shelf, and hanging herbs, clean outlines, simple highlight lines on pots, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Corner scene, hanging items upper, counter open below",Medium,"Pots suggested with a couple highlight lines, not shading; herb motif"
21,Moonlit Windowpane,"black and white line art coloring page for adults, a cottage window at night showing a large crescent moon and outlined stars, framed by curtains and a potted plant, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, dark night fill, gradient, blurry, photorealistic","Window centered, night sky shown via moon and star outlines only",Medium,"Night rendered WITHOUT black fill; crescent moon + stars motif"
22,The Familiar's Nap,"black and white line art coloring page for adults, the cat and toad napping together among soft cushions, a few books, and a teacup, clean outlines, no black fill, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, deformed animals, blurry, photorealistic","Two familiars nestled center, cushions framing",Medium,"Same cat and toad as earlier; outlines only; teacup motif"
23,Shelf of Curiosities,"black and white line art coloring page for adults, a shelf holding crystals, a small globe, feathers, shells, and a candle, many distinct small objects, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Horizontal shelf, objects spaced for individual coloring",Medium,"Crystal motif begins; keep each object clearly separated"
24,The Tea Trolley,"black and white line art coloring page for adults, a rolling tea trolley with a teapot, stacked cups, a tiered cake stand, and a small vase of flowers, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Trolley centered, items layered top to bottom",Medium,"Teapot/cup motif; foreshadows future Tea House volume"
25,Pumpkins on the Steps,"black and white line art coloring page for adults, a cluster of pumpkins of varying sizes arranged on cottage stone steps, a lantern, scattered fallen leaves, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Diagonal steps, pumpkins grouped for depth",Medium,"Pumpkin and lantern motifs; size variety creates rhythm"
26,The Greenhouse Door,"black and white line art coloring page for adults, a glass greenhouse door ajar revealing lush plants and a watering can inside, climbing ivy, paned glass, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Door centered, glass panes structure the scene",Medium,"Opens the greenhouse thread; closes Chapter 2"
27,The Apothecary Wall,"black and white line art coloring page for adults, a full wall of apothecary shelves packed with labeled bottles, jars, small drawers, dried herbs, and a leaning ladder, clean outlines, blank labels, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Full-page wall, layered shelves with depth, ladder diagonal",Detailed,"All labels blank; potion-bottle motif at full density; balance detail with a few open bottles"
28,The Spiral Staircase,"black and white line art coloring page for adults, a winding wooden spiral staircase wrapped with climbing vines leading up into a tower, hanging lanterns, the cat ascending, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, deformed cat, blurry, photorealistic","Strong vertical spiral sweep guiding the eye upward",Detailed,"Vine and cat motifs; central white spine kept open"
29,The Cluttered-Cozy Kitchen,"black and white line art coloring page for adults, a full cottage kitchen with a stove, hanging herbs, copper pots, a loaf of bread, jars, and a busy table, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Full scene with foreground table surface kept open",Detailed,"Herb and pot motifs; rich layering balanced with open table"
30,The Potion in Progress,"black and white line art coloring page for adults, a bubbling cauldron on a worktable with decorative bubble and steam swirls, scattered ingredients, scrolls, an open recipe book, and bottles, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Cauldron focal center, ingredients arranged around",Detailed,"Bubbles/steam as decorative lines; cauldron + bottle motifs; book blank"
31,The Garden in Autumn,"black and white line art coloring page for adults, the cottage garden full of pumpkins, tall sunflowers, falling leaves, a wooden well, and a low fence, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Layered garden with foreground pumpkins and midground well",Detailed,"Pumpkin and sunflower motifs; foreshadows Autumn volume"
32,The Familiar Trio,"black and white line art coloring page for adults, the cat, owl, and raven gathered together among books, candles, and potion bottles, clean outlines, no black animal fill, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, deformed animals, blurry, photorealistic","Three familiars triangulated, objects filling gaps",Detailed,"Brings cast together; all familiars outline-only; book/candle/bottle motifs"
33,The Crystal Window,"black and white line art coloring page for adults, an ornate window with hanging crystals catching light, potted plants on the sill, and a cat silhouette outline, fine radiating sun-ray lines, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Window centered, crystals dangling, rays as fine lines",Detailed,"Sun rays as delicate lines (not shading); crystal + cat motifs"
34,The Bookshelf Ladder,"black and white line art coloring page for adults, a tall bookshelf with a rolling ladder, stacked and leaning books, a small globe, and a sleeping cat, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text on spines, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Tall vertical shelves, ladder diagonal, books varied",Detailed,"Foreshadows Library volume; book spines blank; recurring cat"
35,The Herbalist's Table,"black and white line art coloring page for adults, a worktable covered with a mortar and pestle, bundles of herbs, small bottles, an open blank book, and a candle, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Table-top still life, tools clustered, table edge open",Detailed,"Herb/bottle/candle motifs; book pages blank"
36,The Mushroom Corner,"black and white line art coloring page for adults, a whimsical garden corner with oversized toadstools, ferns, a tiny round door at the base of a tree, pebbles, and a snail, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Cluster low-center, mushroom caps as big open shapes",Detailed,"Crossover hint to Fairy Garden/Mushroom themes; caps kept open"
37,Lanterns of the Path,"black and white line art coloring page for adults, a garden path lined with glowing hanging lanterns leading toward the cottage at dusk, flowers along the path, a crescent moon, clean outlines, glow as radiating line halos, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, dark fill, gradient, blurry, photorealistic","Receding path creating depth, lanterns rhythmic, moon above",Detailed,"Lantern, crescent moon motifs; glow as line halos not shading"
38,The Window Full of Cats,"black and white line art coloring page for adults, a multi-pane window where several cats lounge among potted plants and teacups, curtains framing, clean outlines, no black fur, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, deformed cats, blurry, photorealistic","Window grid divides scene into pleasing pattern of panes",Detailed,"Multiple cats outline-only; teacup/plant motifs; structured pattern"
39,The Greenhouse Interior,"black and white line art coloring page for adults, inside a glass greenhouse overflowing with hanging plants, potted plants, a wooden bench, and a watering can, paned glass walls, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Dense foliage above, open glass panes and bench below for balance",Detailed,"Pays off the greenhouse thread; foliage balanced with open glass"
40,The Witch's Desk,"black and white line art coloring page for adults, a detailed study desk with an open blank grimoire, candles, an inkpot, crystals, a quill, and a perched owl, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black fill, gradient, deformed owl, blurry, photorealistic","Desk still life, owl perched to one side, grimoire central",Detailed,"Closes Chapter 3; grimoire/crystal/candle/owl motifs; book blank"
41,The Grand Library at Night,"black and white line art coloring page for adults, a towering two-story cottage library by moonlight with rolling ladders, hanging lamps, arched windows with a crescent moon, shelves of books, and a cat, intricate clean outlines, large open areas amid detail, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black fill, dark fill, gradient, blurry, photorealistic","Grand vertical scene with deep perspective; keep central reading area open",Masterpiece,"Showpiece library; book spines blank; crescent moon, cat, lantern motifs; night without black fill"
42,The Enchanted Greenhouse in Bloom,"black and white line art coloring page for adults, a glass greenhouse at peak bloom bursting with exotic plants, hanging vines, large flowers, and butterflies, paned glass, intricate clean outlines, balanced open petals, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Lush full-page foliage with butterflies threaded throughout; petals kept open",Masterpiece,"Botanical finale; vine and butterfly detail; ensure flowers have open centers"
43,The Cottage Cross-Section,"black and white line art coloring page for adults, a cutaway cross-section of the whole witch cottage showing stacked rooms: library, kitchen, apothecary, bedroom, and garden below, intricate clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Architectural cutaway, rooms in a grid; each room a coloring vignette",Masterpiece,"Signature showpiece uniting all rooms; every recurring motif appears somewhere"
44,The Midnight Garden,"black and white line art coloring page for adults, the full cottage garden under a large moon with glowing flowers, fireflies as small radiating dots, a wooden well, climbing vines, and the familiars, intricate clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, dark night fill, gradient, blurry, photorealistic","Expansive night garden; moon focal; fireflies as delicate glow lines",Masterpiece,"Night WITHOUT black; moon, well, vine, familiar motifs; fireflies as fine detail"
45,The Apothecary in Full,"black and white line art coloring page for adults, the complete apothecary room with floor-to-ceiling shelves of bottles, rolling ladders, a cauldron, worktables, jars, and dried herbs, intricate clean outlines, blank labels, deliberate open zones, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Maximum object density; leave a couple of open shelves and table tops",Masterpiece,"All labels blank; potion-bottle/cauldron/herb motifs at peak; balance with open zones"
46,The Tower Study,"black and white line art coloring page for adults, the witch's tower study packed with a telescope, rolled maps, books, crystals, an arched window to a star-filled outlined sky, and a perched owl, intricate clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black fill, dark sky fill, gradient, blurry, photorealistic","Telescope aimed at window; artifacts layered; sky shown via star outlines",Masterpiece,"Stars/moon motif; owl, crystal, book motifs; sky never filled black"
47,The Feast Table,"black and white line art coloring page for adults, a grand harvest feast table laden with pumpkins, breads, teapots, candles, fruit, and the gathered familiars, intricate clean outlines, open tablecloth areas, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, deformed animals, blurry, photorealistic","Long table still life with depth; keep tablecloth foreground open",Masterpiece,"Richest still life; pumpkin/teapot/candle motifs; all familiars present, outline-only"
48,The Cottage in the Woods,"black and white line art coloring page for adults, the full exterior of the witch cottage nestled in an enchanted forest under a crescent moon, a winding path, garden, chimney with line-swirl smoke, clean intricate outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, dark fill, gradient, blurry, photorealistic","Establishing wide shot; cottage centered, trees framing, path leading in",Masterpiece,"Definitive cover-worthy scene; crescent moon, path, garden motifs; smoke as line swirls"
49,The Spellbook Spread,"black and white line art coloring page for adults, a massive ornate open grimoire filling the page with an elaborate decorative border, intricate symbols, climbing vines, and small moths, blank pages, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, real occult symbols, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Page-filling open book with ornate symmetrical border; pages blank",Masterpiece,"Decorative border masterpiece; invented (non-occult) symbols; vine/moth motifs"
50,The Heart of the Cottage,"black and white line art coloring page for adults, the witch's cozy living room at night uniting every motif: a glowing hearth with flame swirls, cats, an owl, a raven, stacks of books, teacups, potion bottles, a crescent moon in the window, and climbing vines, intricate clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, dark fill, gradient, deformed animals, blurry, photorealistic","Grand finale interior; everything gathered yet balanced with open floor/wall space",Masterpiece,"Unites ALL recurring motifs (cat, owl, raven, toad if possible, moon, teacup, pumpkin, candle, bottle, vine); flames as line swirls; outline-only animals"
