順位,動画タイトル,チャンネル名,登録者数,再生数,チャンネル平均再生数,外れ値比,動画URL,テーマ,フックの型,投稿日,データ信頼度,出典URL,確定再生数,確定登録者数,確定チャンネル名,真のチャンネル平均(直近最大50本),外れ値比(チャンネル平均比),登録者比(再生÷登録),チャンネル総再生数,チャンネル総動画数,確定データ信頼度,API取得日時(UTC),取得結果
13,㊗️120万回突破 ヤクザに一杯のラーメンをご馳走した女性の運命,シニア感動朗読系（推定）,未確認,120万,120万（本サンプル内平均）,1.00,https://www.youtube.com/shorts/lJFMc3IQNHc,シニア・恩返し・感動,型①欠落→逆転,2025年12月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/lJFMc3IQNHc,1615461,77400,人生のほっとストーリー,516142,3.13,20.87,74209659,152,確証(API),2026-06-17T12:45:41Z,OK
14,㊗️120万回突破「家畜の飯だ」手作り弁当屋を侮辱した社員の運命,シニア感動朗読系（推定）,未確認,120万,120万（本サンプル内平均）,1.00,https://www.youtube.com/shorts/O6cNYBejXyw,スカッと・シニア・朗読,型⑥セリフ引用＋型①,2026年2月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/O6cNYBejXyw,1225894,77400,人生のほっとストーリー,516142,2.38,15.84,74209659,152,確証(API),2026-06-17T12:45:41Z,OK
15,㊗️120万再生突破【2ch感動スレ】感動の迷言集～おじさんのおかげ～,2ch感動スレまとめ系（推定）,未確認,120万,209万（本サンプル内平均）,0.57,https://www.youtube.com/shorts/GSpyWwRqj-w,2ch・感動・名言,型⑥セリフ引用,未確認,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/GSpyWwRqj-w,1373169,307000,2ch感動ストーリー,1341509,1.02,4.47,2096050927,2594,確証(API),2026-06-17T12:45:41Z,OK
16,㊗️90万再生「お荷物だから施設に入ってくれ」73歳の母が息子夫婦に告げられた翌日 家がなくなった理由,シニア感動朗読系（推定）,未確認,90万,120万（本サンプル内平均）,0.75,https://www.youtube.com/shorts/YMaGHz_UTyU,スカッと・シニア・人生逆転,型⑥セリフ引用＋型①,2025年7月27日（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/YMaGHz_UTyU,,,,,,,,,確証(API),2026-06-17T12:45:41Z,動画が見つからない(削除/非公開/ID誤り)
17,㊗️90万回突破 大葉の天ぷらだけを注文する老人が起こした奇跡,シニア感動朗読系（推定）,未確認,90万,120万（本サンプル内平均）,0.75,https://www.youtube.com/shorts/ainb_egmED0,シニア・恩返し・感動,型③目撃＋型①,2026年1月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/ainb_egmED0,961255,77400,人生のほっとストーリー,516142,1.86,12.42,74209659,152,確証(API),2026-06-17T12:45:41Z,OK
18,㊗️80万回突破 野良猫が繋いだ親子の絆,シニア感動朗読系（推定）,未確認,80万,120万（本サンプル内平均）,0.67,https://www.youtube.com/shorts/iCkZcZxA-Lk,シニア・動物・親子,型⑤時間の回収,2025年10月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/iCkZcZxA-Lk,1424090,77400,人生のほっとストーリー,516142,2.76,18.4,74209659,152,確証(API),2026-06-17T12:45:42Z,OK
19,㊗️80万回突破 実家への挨拶の道中で判明した婚約者の正体,シニア感動朗読系（推定）,未確認,80万,120万（本サンプル内平均）,0.67,https://www.youtube.com/shorts/DO1-DCcY0lc,シニア・結婚・感動,型⑦省略・途切れ,2026年1月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/DO1-DCcY0lc,1392529,77400,人生のほっとストーリー,516142,2.7,17.99,74209659,152,確証(API),2026-06-17T12:45:42Z,OK
20,㊗️80万再生 スナックで美人ママがスカッと,シニア感動朗読系（推定）,未確認,80万,120万（本サンプル内平均）,0.67,https://www.youtube.com/shorts/oQofJjCDcak,スカッと・シニア・朗読,型③目撃,2026年2月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/oQofJjCDcak,,,,,,,,,確証(API),2026-06-17T12:45:42Z,動画が見つからない(削除/非公開/ID誤り)
21,㊗️70万回突破 食事を失った老人に母の手作りおにぎりを差し出した結果,シニア感動朗読系（推定）,未確認,70万,120万（本サンプル内平均）,0.58,https://www.youtube.com/shorts/2l-m0K4xPHw,シニア・親子・感動,型①欠落→逆転,2025年11月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/2l-m0K4xPHw,1283911,77400,人生のほっとストーリー,516142,2.49,16.59,74209659,152,確証(API),2026-06-17T12:45:42Z,OK
22,㊗️70万回突破 結婚式当日、浮かない表情でタクシーに乗る花嫁の衝撃的な秘密,シニア感動朗読系（推定）,未確認,70万,120万（本サンプル内平均）,0.58,https://www.youtube.com/shorts/rrEOEWdRwOM,シニア・結婚式・感動,型③目撃＋型⑦省略,2026年3月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/rrEOEWdRwOM,2388437,77400,人生のほっとストーリー,516142,4.63,30.86,74209659,152,確証(API),2026-06-17T12:45:42Z,OK
23,㊗️70万回突破 血の繋がりのない娘の顔合わせの席で、姑が放った衝撃の一言,シニア感動朗読系（推定）,未確認,70万,120万（本サンプル内平均）,0.58,https://www.youtube.com/shorts/hm3yTEegmxE,シニア・家族・感動,型⑥セリフ引用,2026年3月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/hm3yTEegmxE,989289,77400,人生のほっとストーリー,516142,1.92,12.78,74209659,152,確証(API),2026-06-17T12:45:42Z,OK
24,㊗️60万回突破 病院で若い女性がチラチラと私を見てきた信じられない理由,シニア感動朗読系（推定）,未確認,60万,120万（本サンプル内平均）,0.50,https://www.youtube.com/shorts/wMCCNBsDlaQ,シニア・家族・感動,型③目撃＋型⑦省略,2026年1月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/wMCCNBsDlaQ,643540,77400,人生のほっとストーリー,516142,1.25,8.31,74209659,152,確証(API),2026-06-17T12:45:42Z,OK
25,㊗️60万回突破 母の再婚相手の顔を見た瞬間、衝撃で言葉を失った理由,シニア感動朗読系（推定）,未確認,60万,120万（本サンプル内平均）,0.50,https://www.youtube.com/shorts/CKDPmL6JOPo,シニア・家族・再婚,型③目撃＋型⑦省略,2026年2月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/CKDPmL6JOPo,707827,77400,人生のほっとストーリー,516142,1.37,9.15,74209659,152,確証(API),2026-06-17T12:45:42Z,OK
26,㊗️60万再生 学校一の美人が丸坊主で登校した理由,シニア感動朗読系（推定）,未確認,60万,120万（本サンプル内平均）,0.50,https://www.youtube.com/shorts/3gzs02ISSOk,シニア・学生・感動,型⑦省略・途切れ,未確認,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/3gzs02ISSOk,,,,,,,,,確証(API),2026-06-17T12:45:42Z,動画が見つからない(削除/非公開/ID誤り)
27,㊗️50万回突破 相席になった見知らぬ女性との運命的な出会い,シニア感動朗読系（推定）,未確認,50万,120万（本サンプル内平均）,0.42,https://www.youtube.com/shorts/-j885JAkxG0,シニア・出会い・感動,型③目撃,2025年12月（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/-j885JAkxG0,536866,77400,人生のほっとストーリー,516142,1.04,6.94,74209659,152,確証(API),2026-06-17T12:45:43Z,OK
28,㊗️50万回突破 13年間一度も昇給がなかった会社を私は退職しました,シニア感動朗読系（推定）,未確認,50万,120万（本サンプル内平均）,0.42,https://www.youtube.com/shorts/-7tVDh0rRjc,スカッと・仕事・人生逆転,型⑤数字＋型①,未確認,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/-7tVDh0rRjc,965050,77400,人生のほっとストーリー,516142,1.87,12.47,74209659,152,確証(API),2026-06-17T12:45:43Z,OK
29,㊗️35万回達成 実家を壊して笑う夫が、5分後に絶望した話,シニア感動朗読系（推定）,未確認,35万,120万（本サンプル内平均）,0.29,https://www.youtube.com/shorts/vhYTJDKxpwI,スカッと・人生逆転,型⑦省略・途切れ,2026年1月16日（推定）,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/vhYTJDKxpwI,413233,27400,敬老スカッと座,103891,3.98,15.08,27888983,127,確証(API),2026-06-17T12:45:43Z,OK
30,㊗️306万再生「千円!?」加藤茶が絶句…さんまが舞台を救った本当の話,芸能感動エピソード系（推定）,未確認,306万,,,https://www.youtube.com/shorts/AilrigEwhkc,実話・芸能・人生逆転,型⑥セリフ引用,2026年3月（推定）,推定（再生数=作者申告）,https://www.youtube.com/shorts/AilrigEwhkc,,,,,,,,,確証(API),2026-06-17T12:45:44Z,動画が見つからない(削除/非公開/ID誤り)
31,㊗️200万回再生【伝説】ドリフの窮地をギャラ1000円で救った明石家さんま,芸能感動エピソード系（推定）,未確認,200万,,,https://www.youtube.com/shorts/kiI-3drft8Q,実話・芸能・人生逆転,型⑤数字の奇跡,2026年1月（推定）,推定（再生数=作者申告）,https://www.youtube.com/shorts/kiI-3drft8Q,,,,,,,,,確証(API),2026-06-17T12:45:44Z,動画が見つからない(削除/非公開/ID誤り)
32,㊗️200万再生突破【2ch感動スレ】感動の迷言集～空白の方が良かった～,2ch感動スレまとめ系（推定）,未確認,200万,209万（本サンプル内平均）,0.96,https://www.youtube.com/shorts/2aOYZZJ405U,2ch・感動・名言,型⑥セリフ引用,未確認,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/2aOYZZJ405U,2169114,2500,2ch思い出昔話,269294,8.05,867.65,2692925,10,確証(API),2026-06-17T12:45:44Z,OK
33,㊗️200万再生突破【2ch感動スレ】スカッと迷言～車が水没したら～,2ch感動スレまとめ系（推定）,未確認,200万,209万（本サンプル内平均）,0.96,https://www.youtube.com/shorts/APYCoS18Mak,2ch・スカッと・名言,型⑥セリフ引用,未確認,推定（再生数=作者申告/比=サンプル内）,https://www.youtube.com/shorts/APYCoS18Mak,2701928,175000,クスっと製作所,313466,8.62,15.44,675314876,646,確証(API),2026-06-17T12:45:44Z,OK
34,【1000万再生】草むしり,ちいかわファンアート系（推定）,未確認,1000万,,,https://www.youtube.com/shorts/1FTXmAE5cIo,感動・ちいかわ・アニメ,型②最後の手紙的余韻,2023年5月9日（推定/半年外）,推定（再生数=作者申告・期間外参考）,https://www.youtube.com/shorts/1FTXmAE5cIo,12369219,55600,ちいはかせ学園,1455346,8.5,222.47,48020217,33,確証(API),2026-06-17T12:45:45Z,OK
35,㊗️100万再生 財布を無くした外国人観光客に1人の小学生が起こした奇跡,人生ドラマ系（推定）,未確認,100万,,,https://www.youtube.com/shorts/Es7ZVsLc0xg,人生ドラマ・感動・奇跡,型③目撃＋型①,未確認,推定（再生数=作者申告）,https://www.youtube.com/shorts/Es7ZVsLc0xg,,,,,,,,,確証(API),2026-06-17T12:45:45Z,動画が見つからない(削除/非公開/ID誤り)
36,㊗️100万再生 ちびまる子ちゃん史上一番の胸糞回【たかし君の巻】,アニメ感動まとめ系（推定）,未確認,100万,,,https://www.youtube.com/shorts/9CZ0acdd6Ts,アニメ・感動・親子,型②最後の手紙的,未確認,推定（再生数=作者申告）,https://www.youtube.com/shorts/9CZ0acdd6Ts,,,,,,,,,確証(API),2026-06-17T12:45:46Z,動画が見つからない(削除/非公開/ID誤り)
37,涙が止まらない「10年後に開けた父の手紙」感動｜会いたい,感動エピソード系（推定）,未確認,未確認,,,https://www.youtube.com/shorts/IjvKxNf6aEs,親子・手紙・感動,型②最後の手紙＋型⑤時間,2025年5月31日（推定）,未確認（再生数なし）,https://www.youtube.com/shorts/IjvKxNf6aEs,2437,16100,似顔絵島の村長-音楽とAI活用,319,7.64,0.15,3002760,2458,確証(API),2026-06-17T12:45:46Z,OK
38,勤続18年の会社にリストラされた私が半年後にとんでもないことになりました,感動エピソード朗読系（推定）,未確認,未確認,,,https://www.youtube.com/shorts/Z4X1G-3XNxs,リストラ・人生逆転・朗読,型⑤数字＋型⑦省略,2026年3月（推定）,未確認（再生数なし）,https://www.youtube.com/shorts/Z4X1G-3XNxs,106092,14300,心に残るストーリー,52874,2.01,7.42,2039846,39,確証(API),2026-06-17T12:45:47Z,OK
39,「63歳、下着もつけず家出した夜──資産家との出会いが私の人生を変えた」,シニア恋愛朗読系（推定）,未確認,未確認,,,https://www.youtube.com/shorts/T1i-m9qJq38,シニア恋愛・人生逆転・朗読,型⑤数字＋型①,2025年7月30日（推定）,未確認（再生数なし）,https://www.youtube.com/shorts/T1i-m9qJq38,,,,,,,,,確証(API),2026-06-17T12:45:47Z,動画が見つからない(削除/非公開/ID誤り)
40,「日給500円で働かせてください」と頼み込む幼い弟を連れた女子高生を雇った結果,シニア感動朗読系（推定）,未確認,未確認,,,https://www.youtube.com/shorts/1u_ZQvy4BVw,シニア・恩返し・感動,型⑥セリフ引用＋型①,2026年4月（推定）,未確認（再生数なし）,https://www.youtube.com/shorts/1u_ZQvy4BVw,527289,77400,人生のほっとストーリー,516142,1.02,6.81,74209659,152,確証(API),2026-06-17T12:45:47Z,OK
41,財布を忘れた老人についた優しい嘘が引き起こした奇跡,シニア感動朗読系（推定）,未確認,未確認,,,https://www.youtube.com/shorts/Snfh9Je0DOE,シニア・恩返し・感動,型①欠落→逆転,未確認,未確認（再生数なし）,https://www.youtube.com/shorts/Snfh9Je0DOE,1055016,77400,人生のほっとストーリー,516142,2.04,13.63,74209659,152,確証(API),2026-06-17T12:45:47Z,OK
42,毎晩0時コンビニにお婆さんが来る涙の理由,シニア感動朗読系（推定）,未確認,未確認,,,https://www.facebook.com/100064823587404/videos/1953296302283197/,シニア・感動・朗読,型⑦省略・途切れ,2026年（推定）,未確認（再生数なし・Facebook転載）,https://www.facebook.com/100064823587404/videos/1953296302283197/,,,,,,,,,,,対象外(YouTube以外のURL)
43,83歳の誕生日に「施設に入って」と言われた私が翌日 一人でしたこと,シニア感動朗読系（推定）,未確認,未確認,,,https://www.youtube.com/shorts/mnC2hSNZ2go,老後・介護・感動,型⑦省略・途切れ,2026年6月（推定）,未確認（再生数なし）,https://www.youtube.com/shorts/mnC2hSNZ2go,671357,23400,人生の薬箱,185889,3.61,28.69,13730897,65,確証(API),2026-06-17T12:45:47Z,OK
44,大晦日、ひとりで年を越すはずだった母に起きたこと,シニア感動朗読系（推定）,未確認,未確認,,,https://www.youtube.com/shorts/49wa5UwO6SM,母・孤独・感動,型③目撃＋型⑦省略,未確認,未確認（再生数なし）,https://www.youtube.com/shorts/49wa5UwO6SM,4588,9560,人生の歩未〜家族ドラマ劇場〜,121365,0.04,0.48,9687182,226,確証(API),2026-06-17T12:45:48Z,OK
45,少年のわがままに隠された切なすぎる理由,感動朗読系（推定）,未確認,未確認,,,https://www.youtube.com/shorts/B_DyCNrQO6A,親子・感動・朗読,型⑦省略・途切れ,2026年5月（推定）,未確認（再生数なし）,https://www.youtube.com/shorts/B_DyCNrQO6A,580661,77400,人生のほっとストーリー,516142,1.13,7.5,74209659,152,確証(API),2026-06-17T12:45:48Z,OK
46,母と離婚した父が、1人ひっそり亡くなった‥【泣ける話 感動する話】,2ch泣ける話系（推定）,未確認,未確認,,,https://www.youtube.com/shorts/l5OpjrtnhWo,父・別れ・2ch,型②最後の手紙的,未確認,未確認（再生数なし）,https://www.youtube.com/shorts/l5OpjrtnhWo,578041,107000,(2ch)ひまつぶしチャンネル『LAN』,243454,2.37,5.4,314641180,927,確証(API),2026-06-17T12:45:48Z,OK
47,毎朝、店の前にゴミが...防犯カメラを確認したら、涙が止まらない光景が,感動朗読系（推定）,未確認,未確認,,,https://www.youtube.com/shorts/vhXtLbGHj7I,日常・感動・どんでん返し,型③目撃＋型⑦省略,未確認,未確認（再生数なし）,https://www.youtube.com/shorts/vhXtLbGHj7I,321396,44200,Animal Story Theater,402146,0.8,7.27,74049736,200,確証(API),2026-06-17T12:45:49Z,OK
48,主人の死を悟った瞬間、馬が見せた行動に涙,動物感動系（推定）,未確認,未確認,,,https://www.youtube.com/shorts/_HX3sq6qhf0,動物・別れ・感動,型③目撃,未確認,未確認（再生数なし）,https://www.youtube.com/shorts/_HX3sq6qhf0,6918239,76900,動物癒し動画♡ animal cute,579723,11.93,89.96,235192524,375,確証(API),2026-06-17T12:45:50Z,OK
49,倒産した牧場から救助された牛が人生で初めて芝生を踏みしめた瞬間,動物救助系（推定）,未確認,未確認,,,https://www.youtube.com/shorts/YDaEulQ9HB4,動物・救助・感動,型③目撃＋型①,2026年4月（推定）,未確認（再生数なし）,https://www.youtube.com/shorts/YDaEulQ9HB4,868900,76900,動物癒し動画♡ animal cute,579723,1.5,11.3,235192524,375,確証(API),2026-06-17T12:45:50Z,OK
50,【涙腺崩壊】父へ思いを伝える感動演出に会場全体が涙,結婚式サプライズ系（推定）,未確認,未確認,,,https://www.youtube.com/shorts/IfJq4_Yn574,結婚式・父・サプライズ,型②最後の手紙的＋型⑥,2025年2月（推定）,未確認（再生数なし）,https://www.youtube.com/shorts/IfJq4_Yn574,24166,114000,ゼクシィTV,32666,0.74,0.21,111761713,825,確証(API),2026-06-17T12:45:50Z,OK
