Page Number,Page Title,Positive Prompt,Negative Prompt,Composition Notes,Complexity Level,Consistency Notes
11,A Scroll Unrolled,"black and white line art coloring page for adults, a partially unrolled blank scroll weighted with a wax seal and a candle, a cord, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Scroll curling across center, seal and candle anchoring",Light,"Scroll surface blank (no text); candle motif"
12,The Window Seat,"black and white line art coloring page for adults, a cushioned window seat piled with books and a teacup, a crescent moon and outlined stars in the window, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, dark fill, gradient, blurry, photorealistic","Window seat across center, moon in the upper pane",Light,"Crescent moon + teacup motifs; night via outlines; closes Ch1"
13,The Card Catalog,"black and white line art coloring page for adults, a small bank of wooden catalog drawers with blank labels and tiny pulls, a cat tail peeking in, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Grid of drawers forming a gentle pattern, cat tail for charm",Light,"All labels blank; repeating drawers; recurring cat hint"
14,Shelf of Atlases,"black and white line art coloring page for adults, a shelf of oversized atlases beside a rolled map and a brass compass, bookends, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text on spines, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Horizontal shelf, large books in a varied row",Light,"Book spines blank; introduces map/compass thread"
15,The Reading Nook,"black and white line art coloring page for adults, a wingback armchair, a side table with a lamp, and a stack of books with a folded throw, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Cozy corner, armchair as anchor, open floor kept clear",Light,"Lamp glow as light lines; inviting open space"
16,Floating Books,"black and white line art coloring page for adults, a few open books drifting gently in the air with small sparkle marks and loose pages, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, words, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Books arranged in a rising diagonal, white space implying air",Light,"Whimsical magic; pages fanned open and blank; sparkle motif"
17,The Ladder Rail,"black and white line art coloring page for adults, a rolling library ladder leaning against a shelf of books with the cat climbing it, clean outlines, no black fur, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, deformed cat, blurry, photorealistic","Strong diagonal ladder across the shelf, cat midway",Light,"Recurring cat; book spines blank"
18,The Potion-Stained Desk,"black and white line art coloring page for adults, a study desk with small ink bottles, an open book, a magnifying glass, and a quill, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Desk-top still life, objects clustered, surface kept open",Light,"Bottle motif links to the apothecary world; book blank"
19,The Stained Glass Window,"black and white line art coloring page for adults, an arched stained-glass window with outlined leaded panes in varied shapes and a potted plant on the sill, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, colored glass, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Arched window centered, panes structuring the composition",Light,"Leaded panes as distinct outlined shapes; NOT colored/filled"
20,The Map Table,"black and white line art coloring page for adults, a round table with an unrolled blank map, a brass compass, a lit candle, and corner weights, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Map spread fills center, instruments around the edges",Light,"Map surface blank for invented coloring; compass motif"
21,Moonlit Shelf,"black and white line art coloring page for adults, a bookshelf at night with a crescent moon and small outlined stars visible through a gap, a curtain edge, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, dark night fill, gradient, blurry, photorealistic","Shelf framing a window gap where the moon sits",Medium,"Night WITHOUT black fill; crescent moon + stars motif"
22,The Familiar's Nook,"black and white line art coloring page for adults, the cat and owl resting together among books with a teacup and a candle nearby, clean outlines, no black animal fill, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, deformed animals, blurry, photorealistic","Two familiars nestled center, books framing them",Medium,"Recurring cat + owl; teacup motif; outline-only animals"
23,Stack of Curiosities,"black and white line art coloring page for adults, a stack of books topped with a faceted crystal, a feather, and a candle in a glass jar, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Vertical little tower of varied objects, centered",Medium,"Crystal motif; distinct objects for detailed coloring"
24,The Tea and Book Tray,"black and white line art coloring page for adults, a tray with a teapot, a cup, an open book, and a spoon set on a side table, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Tray as a tidy still life, items layered for depth",Medium,"Teapot motif; crossover hint to the Tea House volume; book blank"
25,Hanging Lanterns,"black and white line art coloring page for adults, a row of hanging lanterns strung above a small reading table with a book and a chair, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Lanterns anchored at top in rhythm, table open below",Medium,"Lantern motif; gentle repeating-yet-varied pattern"
26,The Archive Door,"black and white line art coloring page for adults, an arched wooden door ajar revealing deeper book stacks beyond, a lantern and trailing vines, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Door centered, stacks suggested with depth through the gap",Medium,"Opens the deeper library; vine + lantern motifs; closes Ch2"
27,The Towering Stacks,"black and white line art coloring page for adults, tall library shelves with a leaning ladder and deep receding perspective down an aisle, a lamp, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Deep one-point perspective; central aisle kept open",Detailed,"Book spines blank; balance density with the open aisle"
28,The Spiral Book Tower,"black and white line art coloring page for adults, a spiral staircase wrapped with bookshelves climbing a tower, hanging lanterns, the cat ascending, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, deformed cat, blurry, photorealistic","Strong vertical spiral guiding the eye upward",Detailed,"Recurring cat; lantern motif; central spine kept open"
29,The Grand Reading Table,"black and white line art coloring page for adults, a long reading table laid with open books, lamps, scrolls, and wooden chairs, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Long table with depth, foreground tabletop kept open",Detailed,"Lamp and scroll motifs; pages blank; rich but breathable"
30,The Cartographer's Corner,"black and white line art coloring page for adults, a corner crowded with rolled and pinned maps, globes, a telescope, and brass instruments, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Layered corner still life, instruments clustered",Detailed,"Deepens the map-room thread; maps blank; telescope motif"
31,The Greenhouse Library,"black and white line art coloring page for adults, bookshelves entwined with climbing plants beside a tall paned window and a watering can, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Foliage above and around, open glass panes for balance",Detailed,"Crossover to the Greenhouse volume; foliage + open panes"
32,The Familiar Gathering,"black and white line art coloring page for adults, the cat, owl, and raven together among books, candles, and a globe, clean outlines, no black animal fill, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, deformed animals, blurry, photorealistic","Three familiars triangulated, objects filling gaps",Detailed,"Raven joins the cast; all familiars outline-only; globe/candle motifs"
33,The Scriptorium,"black and white line art coloring page for adults, rows of slanted writing desks with open blank books, quills, and candles, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Repeating desks with breathable spacing and depth",Detailed,"Pages blank; quill and candle motifs"
34,The Crystal Reading Lamp,"black and white line art coloring page for adults, an ornate lamp dripping with hanging crystals over a book-strewn desk with an inkpot, fine radiating light lines, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Lamp upper center, crystals dangling, desk below",Detailed,"Crystal motif; rays as fine lines, not shading"
35,The Restricted Shelf,"black and white line art coloring page for adults, a locked glass cabinet of special tomes wrapped with a decorative chain and climbing vines, an ornate lock, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, scary, gothic, blurry, photorealistic","Cabinet centered, chain and vines as decorative overlay",Detailed,"Cozy-mysterious, NOT scary; vine motif; spines blank"
36,The Story Whirl,"black and white line art coloring page for adults, books spiraling upward in a whirl of loose pages and small outlined stars and sparkles, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, words, watermark, signature, frame, solid black fill, dark fill, gradient, blurry, photorealistic","Upward spiral of motion, white space carrying the swirl",Detailed,"Whimsical motion; stars motif; pages blank; flowing lines"
37,The Lantern-Lit Aisle,"black and white line art coloring page for adults, a long aisle of shelves lit by hanging lanterns receding into the distance, the cat on the floor, glow as line halos, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, dark fill, gradient, blurry, photorealistic","Receding perspective; lanterns rhythmic overhead",Detailed,"Lantern glow as line halos; recurring cat; spines blank"
38,The Window Wall of Books,"black and white line art coloring page for adults, floor-to-ceiling shelves framing a tall window where cats lounge among potted plants, a ladder, clean outlines, no black fur, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, deformed cats, blurry, photorealistic","Window centered, shelves framing it, cats in the panes",Detailed,"Multiple cats outline-only; plant motif; window structures scene"
39,The Map Room,"black and white line art coloring page for adults, walls covered in framed maps around a central table with a globe, chairs, and a compass, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black, gradient, blurry, photorealistic","Framed maps as patterned wall panels, table anchoring center",Detailed,"Map-room payoff; maps blank; globe/compass motifs"
40,The Librarian's Desk,"black and white line art coloring page for adults, a grand desk with a stamp, ledgers, a lamp, the owl perched, and a teacup, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black fill, gradient, deformed owl, blurry, photorealistic","Desk still life, owl to one side, ledgers central",Detailed,"Owl + teacup motifs; ledgers blank; closes Chapter 3"
41,The Grand Library at Night,"black and white line art coloring page for adults, a towering two-story library by moonlight with rolling ladders, hanging lamps, arched windows with a crescent moon, shelves of books, and the cat, intricate clean outlines, large open areas amid the detail, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black fill, dark fill, gradient, blurry, photorealistic","Grand vertical hall with deep perspective; keep reading floor open",Masterpiece,"Signature showpiece; book spines blank; moon + cat motifs; night without black"
42,The Infinite Stacks,"black and white line art coloring page for adults, impossibly tall bookshelves vanishing upward with open books drifting between them, ladders and lamps, intricate clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Dramatic upward perspective; drifting books fill the air",Masterpiece,"Floating-book whimsy; spines blank; balance density with white sky"
43,The Library Cross-Section,"black and white line art coloring page for adults, a cutaway cross-section of a multi-floor library showing a reading room, an archive, a map room, and a tower connected by stairs, intricate clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Architectural cutaway; each floor a coloring vignette",Masterpiece,"Signature cutaway uniting the rooms; every motif appears somewhere"
44,The Midnight Reading Room,"black and white line art coloring page for adults, a cozy reading hall with a fireplace and flame swirls, armchairs, a huge round moon window, books, and the familiars, intricate clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, dark fill, gradient, deformed animals, blurry, photorealistic","Warm hall; great moon window as focal point; floor kept open",Masterpiece,"Moon + familiars motifs; flames as line swirls; night without black"
45,The Celestial Atlas,"black and white line art coloring page for adults, an enormous open atlas spread filling the page with outlined constellations, an orrery, and a compass, intricate clean outlines, blank pages, white background, 8.5x11 portrait","grayscale, shading, color, legible text, real star labels, watermark, signature, frame, solid black fill, dark fill, gradient, blurry, photorealistic","Page-filling open atlas; constellations as fine star-and-line detail",Masterpiece,"Stars motif; invented constellations; atlas pages blank"
46,The Astronomer's Tower,"black and white line art coloring page for adults, a domed tower study with a telescope and pinned star charts, a domed window showing an outlined starry sky, and the owl, intricate clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, watermark, signature, frame, solid black fill, dark sky fill, gradient, deformed owl, blurry, photorealistic","Telescope aimed at the dome window; charts and instruments layered",Masterpiece,"Stars/moon + owl motifs; sky shown by star outlines only, never black"
47,The Feast of Books,"black and white line art coloring page for adults, a grand table piled high with stacks of books, teapots, candles, fruit, and the gathered familiars, intricate clean outlines, open tablecloth areas, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, gradient, deformed animals, blurry, photorealistic","Long table still life with depth; foreground cloth kept open",Masterpiece,"Richest still life; teapot/candle motifs; all familiars, outline-only"
48,The Library in the Tree,"black and white line art coloring page for adults, an entire library built into a colossal tree with shelves, rolling ladders, and hanging lanterns, under a crescent moon, intricate clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, dark fill, gradient, blurry, photorealistic","Establishing wide view; the tree-library centered, sky open",Masterpiece,"Cover-worthy scene; crescent moon motif; lantern motif; spines blank"
49,The Great Grimoire,"black and white line art coloring page for adults, a massive ornate open book filling the page with an elaborate decorative border, climbing vines, small moths, and invented symbols, blank pages, clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, legible text, real occult symbols, watermark, signature, frame, solid black fill, gradient, blurry, photorealistic","Page-filling open book with a symmetrical ornate border; pages blank",Masterpiece,"Decorative border masterpiece; invented (non-occult) symbols; vine/moth motifs"
50,The Heart of the Library,"black and white line art coloring page for adults, the ultimate reading hall uniting every motif: a glowing hearth with flame swirls, cats, an owl, a raven, towering books, scattered teacups, a crescent moon in a great window, and climbing vines, intricate clean outlines, white background, 8.5x11 portrait","grayscale, shading, color, text, watermark, signature, frame, solid black fill, dark fill, gradient, deformed animals, blurry, photorealistic","Grand finale interior; everything gathered yet balanced with open floor",Masterpiece,"Unites ALL recurring motifs (cat, owl, raven, moon, teacup, candle, vine, books); flames as line swirls; outline-only animals"
